CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
R131,23 ST,07:45:22,17846035.0,7131925.0,89.0,97.0,186.0
R131,23 ST,07:51:22,18582578.0,7413370.0,60.0,86.0,146.0
R227,23 ST,07:52:01,36542623.0,19675898.0,37.0,1.0,38.0
R226A,23 ST,07:52:22,37116271.0,22132215.0,36.0,74.0,110.0
N076,23 ST,07:52:54,28750510.0,15405446.0,72.0,107.0,179.0
N508,23 ST,07:53:33,3080759303.0,3237973189.0,18.0,203.0,221.0
N076,23 ST,07:54:58,28156191.0,15079842.0,48.0,62.0,110.0
R227,23 ST,07:58:15,36542660.0,19675899.0,822.0,924.0,1746.0
N075,23 ST,08:00:00,156302428.1657143,86460570.93714286,898.1485714285715,290.58285714285716,1188.7314285714285
R131,23 ST,08:00:00,21113702.7,8336250.233333333,1478.1666666666667,1132.8333333333333,2611.0
A031,23 ST,08:00:00,20931114.29142857,17030705.445714287,1125.2285714285715,3352.114285714286,4477.342857142857
N076,23 ST,08:00:00,32757208.862857144,17553255.285714287,2682.4685714285715,2446.6628571428573,5129.131428571429
N508,23 ST,08:00:00,3056505260.8342857,3215235311.8628573,676.8114285714286,4850.868571428571,5527.68
R132,23 ST,08:00:00,20994020.533333335,41376226.7,957.7,2510.3333333333335,3468.0333333333333
R227,23 ST,08:00:00,39423835.4,20805807.166666668,1691.4333333333334,2038.3,3729.733333333333
R226A,23 ST,08:00:00,36519363.766666666,21267296.1,529.9666666666667,759.4666666666667,1289.4333333333334
N509,23 ST,08:00:00,24258410.29310345,17234125.752873562,4167.086206896552,5100.3448275862065,9267.431034482759
R226,23 ST,08:00:00,2062959295.2666667,1732538144.5,1467.1666666666667,4553.6,6020.766666666666
A030,23 ST,08:00:00,130661410.01142856,20437231.10857143,2344.097142857143,3127.9542857142856,5472.051428571429
N077,23 ST,08:00:00,14156094.531428572,26598214.994285714,1072.4914285714285,2175.057142857143,3247.5485714285714
R227A,23 ST,08:00:00,15557389.333333334,9004038.8,1483.8333333333333,1377.7666666666667,2861.6
R131,23 ST,08:03:48,18582638.0,7413456.0,512.0,453.0,965.0
A030,23 ST,08:07:31,125004539.0,17956135.0,1990.0,2840.0,4830.0
R132,23 ST,08:08:09,19663703.0,38835660.0,969.0,2549.0,3518.0
N076,23 ST,08:10:00,27946286.0,14962613.0,1065.0,886.0,1951.0
R131,23 ST,08:10:50,17800532.0,7114319.0,1691.0,1276.0,2967.0
R132,23 ST,08:13:03,19816394.0,39118645.0,347.0,719.0,1066.0
R226A,23 ST,08:14:35,37116307.0,22132289.0,178.0,136.0,314.0
A030,23 ST,08:15:43,125577041.0,18205548.0,2380.0,3344.0,5724.0
R226,23 ST,08:16:52,2067406166.0,1739637592.0,349.0,1368.0,1717.0
A031,23 ST,08:18:12,19982251.0,15977591.0,1070.0,2942.0,4012.0
N077,23 ST,08:19:13,13851835.0,28906674.0,72.0,204.0,276.0
R227,23 ST,08:20:13,37080447.0,19897628.0,343.0,504.0,847.0
N508,23 ST,08:32:43,3080420669.0,3237395189.0,414.0,3600.0,4014.0
R131,23 ST,08:33:11,17767559.0,7102432.0,1410.0,1241.0,2651.0
A031,23 ST,08:33:15,22949383.0,17978720.0,1017.0,3192.0,4209.0
N508,23 ST,08:34:13,3083051508.0,3241880516.0,75.0,888.0,963.0
N077,23 ST,08:34:36,13851907.0,28906878.0,14.0,47.0,61.0
R226,23 ST,08:35:36,2178023334.0,1729367797.0,200.0,524.0,724.0
R226,23 ST,08:36:34,2067434264.0,1739676011.0,194.0,734.0,928.0
N075,23 ST,08:36:40,106878122.0,2793698.0,736.0,262.0,998.0
R131,23 ST,08:36:53,17846415.0,7132247.0,432.0,345.0,777.0
N077,23 ST,08:38:04,13851921.0,28906925.0,733.0,1892.0,2625.0
R132,23 ST,08:38:18,19682235.0,38869216.0,886.0,2169.0,3055.0
R227,23 ST,08:41:06,39630764.0,20873902.0,181.0,268.0,449.0
N509,23 ST,08:43:42,21005209.0,15285581.0,3092.0,4817.0,7909.0
N076,23 ST,08:43:48,28314076.0,15169441.0,2192.0,2171.0,4363.0
R227,23 ST,08:45:37,36900099.0,19823748.0,118.0,150.0,268.0
A030,23 ST,08:45:51,125861399.0,18329258.0,1981.0,2970.0,4951.0
N076,23 ST,08:49:11,32628245.0,17475187.0,2132.0,1864.0,3996.0
N509,23 ST,08:49:30,24524285.0,17034708.0,2394.0,3369.0,5763.0
N076,23 ST,08:56:11,28210566.0,15111531.0,1740.0,2094.0,3834.0
N508,23 ST,08:56:44,3083121972.0,3242004439.0,599.0,3448.0,4047.0
R131,23 ST,09:00:00,19931169.6,7946350.542857143,1572.9142857142858,1116.3085714285714,2689.2228571428573
R227A,23 ST,09:00:00,15782181.457142858,9147342.662857143,1086.4457142857143,1049.04,2135.4857142857145
R227,23 ST,09:00:00,39876725.10285714,20999828.645714287,1692.2571428571428,1488.0628571428572,3180.32
R226,23 ST,09:00:00,2071948893.2628572,1732764274.9828572,1424.36,3289.697142857143,4714.057142857143
R226A,23 ST,09:00:00,36617919.48571429,21403924.285714287,403.54857142857145,734.2628571428571,1137.8114285714287
R132,23 ST,09:00:00,21043027.01714286,41527067.205714285,902.2285714285714,2122.497142857143,3024.7257142857143
N508,23 ST,09:00:01,3083051583.0,3241881404.0,508.0,3358.0,3866.0
N077,23 ST,09:01:08,13396683.0,24642812.0,244.0,431.0,675.0
N508,23 ST,09:05:43,3080759458.0,3237975454.0,577.0,3002.0,3579.0
N508,23 ST,09:15:07,3080734440.0,3237935346.0,545.0,3003.0,3548.0
R131,23 ST,09:15:10,18198893.0,7264806.0,1086.0,774.0,1860.0
N509,23 ST,09:15:56,25681803.0,17741828.0,40.0,62.0,102.0
N509,23 ST,09:17:07,25681843.0,17741890.0,37.0,43.0,80.0
R131,23 ST,09:18:12,17846847.0,7132592.0,988.0,810.0,1798.0
N509,23 ST,09:18:44,25681880.0,17741933.0,24.0,96.0,120.0
N509,23 ST,09:18:56,21557017.0,15653311.0,973.0,1803.0,2776.0
N508,23 ST,09:19:15,3080582532.0,3237680308.0,151.0,932.0,1083.0
N077,23 ST,09:19:38,13873989.0,28944060.0,539.0,1491.0,2030.0
N509,23 ST,09:20:04,25681904.0,17742029.0,1826.0,2786.0,4612.0
R227,23 ST,09:22:21,36618556.0,19707519.0,238.0,413.0,651.0
N508,23 ST,09:25:50,3080631416.0,3237764559.0,500.0,2594.0,3094.0
R227,23 ST,09:26:14,36679240.0,19732341.0,409.0,537.0,946.0
R226,23 ST,09:27:31,2067219120.0,1739376135.0,1229.0,3189.0,4418.0
R227,23 ST,09:28:54,36837807.0,19799170.0,1557.0,1277.0,2834.0
N076,23 ST,09:36:45,27947351.0,14963499.0,3.0,124.0,127.0
R131,23 ST,09:37:59,17824916.0,7124613.0,796.0,604.0,1400.0
N076,23 ST,09:38:23,27947354.0,14963623.0,446.0,678.0,1124.0
N508,23 ST,09:40:30,3083084738.0,3241941108.0,445.0,2166.0,2611.0
N076,23 ST,09:41:20,32560440.0,17439940.0,1182.0,1269.0,2451.0
N077,23 ST,09:47:46,13396927.0,24643243.0,374.0,835.0,1209.0
N076,23 ST,09:49:45,28635756.0,15346935.0,956.0,973.0,1929.0
R226,23 ST,09:59:43,2067228187.0,1739388931.0,31.0,0.0,31.0
N509,23 ST,10:00:03,21228404.0,15435355.0,1036.0,1738.0,2774.0
N508,23 ST,10:00:08,3080582683.0,3237681240.0,463.0,1669.0,2132.0
R227,23 ST,10:00:49,36618794.0,19707932.0,1434.0,934.0,2368.0
R226,23 ST,10:04:22,2067228218.0,1739388931.0,1141.0,2714.0,3855.0
N076,23 ST,10:08:01,28606414.0,15330733.0,970.0,784.0,1754.0
N508,23 ST,10:27:39,3080412610.0,3237384054.0,83.0,596.0,679.0
R131,23 ST,10:28:01,17757785.0,7099294.0,487.0,301.0,788.0
N509,23 ST,10:28:34,21557990.0,15655114.0,863.0,1077.0,1940.0
R227,23 ST,10:29:41,36679649.0,19732878.0,1303.0,771.0,2074.0
N076,23 ST,10:37:44,27947800.0,14964301.0,145.0,182.0,327.0
R226,23 ST,10:51:39,2015769149.0,1569906885.0,5.0,0.0,5.0
R226,23 ST,10:53:00,2067144733.0,1739273284.0,6.0,46.0,52.0
R226,23 ST,10:54:19,2016296187.0,1570580029.0,13.0,2.0,15.0
R131,23 ST,10:54:34,17893568.0,7151016.0,570.0,353.0,923.0
R226,23 ST,10:55:39,2016296200.0,1570580031.0,9.0,0.0,9.0
R226,23 ST,10:56:59,2058635049.0,1726595838.0,10.0,0.0,10.0
R226,23 ST,10:59:00,70285127.0,195002506.0,9.0,0.0,9.0
A031,23 ST,11:00:00,20504214.933333334,16716035.333333334,1711.7333333333333,1311.7,3023.4333333333334
N076,23 ST,11:00:00,32088828.433333334,17189390.566666666,2242.5666666666666,1404.8666666666666,3647.4333333333334
N508,23 ST,11:00:00,1317232757.7333333,1375096111.9,1704.1,2513.1666666666665,4217.266666666666
N509,23 ST,11:00:00,23538833.7,16776119.766666668,2748.9333333333334,2046.4,4795.333333333333
