CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A066,CANAL ST,12:00:00,297979730.3666667,1419665663.6333334,2289.733333333333,459.23333333333335,2748.9666666666667
A043,CANAL ST,12:00:00,768479754.6333333,926515474.5,3192.9,2691.233333333333,5884.133333333333
R120,CANAL ST,12:00:00,2602136.7333333334,11494867.766666668,253.26666666666668,756.8333333333334,1010.1
N089,CANAL ST,12:00:00,939931807.88,575371673.6571429,2705.2228571428573,2104.691428571429,4809.914285714286
N090,CANAL ST,12:00:00,15075244.902857143,22458963.04,1533.1371428571429,1227.6,2760.7371428571428
A066,CANAL ST,13:00:00,258060974.28901735,1473630264.0924857,2657.5028901734104,377.97109826589593,3035.473988439306
A046,CANAL ST,13:00:00,2167276642.88,664418683.5085714,6122.897142857143,4063.84,10186.737142857142
R120,CANAL ST,13:00:00,2656349.936781609,11693331.0,319.92528735632186,820.8390804597701,1140.7643678160919
A043,CANAL ST,13:00:00,769114178.2528735,927113607.6264368,4224.086206896552,3022.3390804597702,7246.425287356322
R119,CANAL ST,13:00:00,17018905.78857143,5862954.508571428,1405.5714285714287,349.86285714285714,1755.4342857142858
A043,CANAL ST,14:30:31,767066674.0,924906613.0,2391.0,1359.0,3750.0
N089,CANAL ST,14:36:10,940460199.0,575754942.0,1109.0,697.0,1806.0
N090,CANAL ST,15:00:00,14882578.9,22426364.733333334,3951.8,1237.7333333333333,5189.533333333334
N089,CANAL ST,15:00:00,939460469.7,574981781.7666667,6345.966666666666,2120.266666666667,8466.233333333334
A046,CANAL ST,15:45:55,2166745602.0,658929708.0,2066.0,1242.0,3308.0
R119,CANAL ST,15:49:25,16794260.0,5798490.0,6.0,3.0,9.0
R119,CANAL ST,15:50:35,15928409.0,5465926.0,3.0,3.0,6.0
R119,CANAL ST,15:52:08,16794269.0,5798496.0,53.0,3.0,56.0
R120,CANAL ST,16:00:00,2602390.0,11495624.6,584.2333333333333,816.5333333333333,1400.7666666666667
N090,CANAL ST,16:00:00,15083540.92,22555364.514285713,3732.4914285714285,1183.3028571428572,4915.794285714286
R119,CANAL ST,16:00:00,16779315.833333332,5789269.466666667,2555.633333333333,285.3,2840.9333333333334
N089,CANAL ST,16:00:00,939960967.0571429,575388376.6514286,6603.44,2075.302857142857,8678.742857142857
A066,CANAL ST,16:00:00,240419891.26666668,1360931381.7,3994.733333333333,336.5,4331.233333333334
A046,CANAL ST,16:00:00,2173724005.5,666188460.0666667,7831.466666666666,3419.633333333333,11251.1
A043,CANAL ST,16:00:00,768482947.5333333,926518165.7333333,6970.166666666667,2540.9666666666667,9511.133333333333
R119,CANAL ST,16:14:18,16784165.0,5795550.0,7.0,3.0,10.0
R119,CANAL ST,16:15:38,16784172.0,5795553.0,2622.0,303.0,2925.0
A043,CANAL ST,17:00:00,769091546.1371429,927076311.6971428,6959.434285714286,2369.097142857143,9328.531428571428
R119,CANAL ST,17:00:00,16970663.148571428,5844613.605714286,2381.1714285714284,260.1657142857143,2641.3371428571427
A046,CANAL ST,17:00:00,2168395090.805714,664606409.9828571,7459.062857142857,3184.2457142857143,10643.308571428572
A066,CANAL ST,17:00:00,268044533.0115607,1483816158.5953758,3641.8612716763005,327.64161849710985,3969.5028901734104
R120,CANAL ST,17:00:00,2654777.2427745666,11686865.572254336,508.9017341040462,757.4104046242775,1266.3121387283236
N089,CANAL ST,17:37:26,940403876.0,576346550.0,3945.0,1110.0,5055.0
A043,CANAL ST,17:43:37,767986097.0,926173717.0,5828.0,1709.0,7537.0
N089,CANAL ST,17:44:03,939028199.0,574083655.0,3689.0,1009.0,4698.0
N089,CANAL ST,19:00:00,939396138.2666667,574968809.5,2690.233333333333,789.0333333333333,3479.266666666667
N090,CANAL ST,19:00:00,14792020.466666667,22087203.166666668,1275.7666666666667,434.43333333333334,1710.2
A043,CANAL ST,20:00:00,768482789.2916666,926514440.2083334,2136.125,486.5833333333333,2622.7083333333335
N090,CANAL ST,20:00:00,14973851.514285713,22078942.4,822.4714285714285,273.62142857142857,1096.0928571428572
N089,CANAL ST,20:00:00,939961582.6857142,575390435.15,1923.1571428571428,523.3285714285714,2446.4857142857145
A066,CANAL ST,20:00:00,240419425.16666666,1360930520.3333333,1230.7916666666667,175.375,1406.1666666666667
A046,CANAL ST,20:00:00,2173700944.5416665,666147205.1666666,2220.9583333333335,829.0,3049.9583333333335
R120,CANAL ST,20:00:00,2602385.5416666665,11494427.916666666,122.375,208.41666666666666,330.7916666666667
R119,CANAL ST,20:00:00,16779434.25,5788825.625,519.7916666666666,46.833333333333336,566.625
R119,CANAL ST,21:00:00,16951368.421428572,5836872.535714285,363.59285714285716,37.614285714285714,401.20714285714286
A043,CANAL ST,21:00:00,769123784.3428571,927102182.1,1463.1857142857143,404.26428571428573,1867.45
A066,CANAL ST,21:00:00,260417206.22627738,1488556018.591241,876.9051094890511,141.05109489051094,1017.956204379562
A046,CANAL ST,21:00:00,2168039288.821429,664516338.3285714,1724.3714285714286,662.4285714285714,2386.8
R120,CANAL ST,21:00:00,2644615.2230215827,11654463.179856116,84.10791366906474,174.0071942446043,258.1151079136691
N090,CANAL ST,23:00:00,14297086.916666666,20474214.041666668,203.0,60.25,263.25
N089,CANAL ST,23:00:00,939463120.9166666,574979534.625,402.5833333333333,119.95833333333333,522.5416666666666
