CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A043,CANAL ST,12:00:00,768463084.2666667,926496812.4666667,3014.866666666667,3807.4666666666667,6822.333333333333
A066,CANAL ST,12:00:00,240405282.4,1360927162.6666667,2594.133333333333,556.3333333333334,3150.4666666666667
R120,CANAL ST,12:00:00,2490373.6666666665,10990428.466666667,112.4,596.2666666666667,708.6666666666666
A046,CANAL ST,12:00:00,2173811144.2,666412795.2666667,5573.666666666667,4496.2,10069.866666666667
N090,CANAL ST,12:00:00,14841309.223880596,22439216.253731344,581.7164179104477,833.9850746268656,1415.7014925373135
R119,CANAL ST,13:00:00,16478426.166666666,5667286.833333333,586.3333333333334,257.75757575757575,844.0909090909091
A066,CANAL ST,13:00:00,256195533.01492536,1461315469.7910447,2734.6417910447763,455.8358208955224,3190.4776119402986
R120,CANAL ST,13:00:00,2667089.081967213,11733655.032786885,121.24590163934427,643.1967213114754,764.4426229508197
A043,CANAL ST,13:00:00,763874291.6716418,920591988.3880597,3482.820895522388,3541.194029850746,7024.014925373134
A046,CANAL ST,13:00:00,2141996439.4328358,656477241.8507463,6004.134328358209,4331.089552238806,10335.223880597016
N090,CANAL ST,15:00:00,14851179.2,22320074.133333333,797.8,697.8,1495.6
N089,CANAL ST,15:00:00,939447785.7333333,574968092.0666667,2249.6,1449.6,3699.2
A066,CANAL ST,16:00:00,240407876.53333333,1360927719.0,3141.266666666667,441.6666666666667,3582.9333333333334
A046,CANAL ST,16:00:00,2173817165.866667,666417259.4666667,6012.133333333333,2885.0,8897.133333333333
N090,CANAL ST,16:00:00,14949705.388059702,22444069.835820895,705.6119402985074,649.3432835820895,1354.955223880597
R119,CANAL ST,16:00:00,14405225.5,4932604.0,553.1428571428571,135.28571428571428,688.4285714285714
N089,CANAL ST,16:00:00,939943128.5820895,575376008.0447761,2124.9253731343283,1450.4328358208954,3575.3582089552237
R120,CANAL ST,16:00:00,2600460.214285714,11488480.214285715,132.57142857142858,505.2857142857143,637.8571428571429
A043,CANAL ST,16:00:00,768466099.1333333,926500619.9333333,4023.8,2369.0,6392.8
R119,CANAL ST,17:00:00,16732978.246153846,5754898.923076923,579.3846153846154,168.27692307692308,747.6615384615385
A046,CANAL ST,17:00:00,2142001969.3880596,656481496.9402986,5616.820895522388,2810.5671641791046,8427.388059701492
R120,CANAL ST,17:00:00,2646755.2459016396,11615291.885245902,108.11475409836065,464.7049180327869,572.8196721311475
A066,CANAL ST,17:00:00,256198267.6567164,1461315925.6268656,2722.0,395.64179104477614,3117.6417910447763
