CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
R227A,23 ST,12:00:00,15552163.2,9000583.066666666,593.7333333333333,494.0,1087.7333333333333
N509,23 ST,12:00:00,22305359.775510203,15919313.979591837,1407.795918367347,1221.6938775510205,2629.4897959183672
N508,23 ST,12:00:00,1226539566.7413793,1281522211.862069,1189.0,1344.8103448275863,2533.810344827586
R226,23 ST,13:00:00,2072255417.8461537,1732850295.2615385,985.2461538461539,1088.8461538461538,2074.0923076923077
R131,23 ST,13:00:00,19894521.793650795,7931456.111111111,1987.3809523809523,730.6984126984127,2718.0793650793653
R227,23 ST,13:00:00,39312848.06060606,20710389.37878788,1262.9848484848485,399.74242424242425,1662.7272727272727
R132,23 ST,13:00:00,20635937.03076923,40601409.78461538,661.7846153846153,1482.5692307692307,2144.353846153846
R227A,23 ST,13:00:00,15400229.164179105,8959350.313432835,621.4776119402985,496.1044776119403,1117.5820895522388
R226A,23 ST,13:00:00,36585141.37313433,21370580.46268657,228.56716417910448,471.7910447761194,700.3582089552239
N509,23 ST,15:00:00,21644536.846153848,15455287.923076924,1982.6153846153845,1327.4615384615386,3310.076923076923
N075,23 ST,15:00:00,154916147.4,91751884.06666666,672.4,197.0,869.4
N508,23 ST,15:00:00,1229722962.9230769,1285083634.0769231,1581.8461538461538,1311.923076923077,2893.769230769231
A030,23 ST,15:00:00,129893268.86666666,20104501.733333334,3046.6666666666665,1096.8666666666666,4143.533333333334
A031,23 ST,15:00:00,20495166.866666667,16707098.733333332,2177.4,998.4666666666667,3175.866666666667
N077,23 ST,15:00:00,13928536.0,26512344.6,1441.9333333333334,1659.6666666666667,3101.6
N076,23 ST,15:00:00,32075142.6,17181114.533333335,2730.0,1371.9333333333334,4101.933333333333
N508,23 ST,16:00:00,1237321285.3703704,1294729494.5,1580.7222222222222,1202.3333333333333,2783.0555555555557
N075,23 ST,16:00:00,157162142.33333334,62805290.96969697,535.1969696969697,195.6969696969697,730.8939393939394
R226A,23 ST,16:00:00,36326874.14285714,21056149.14285714,177.07142857142858,331.2857142857143,508.35714285714283
R226,23 ST,16:00:00,1917104870.8,1592717315.3333333,728.9333333333333,645.8,1374.7333333333333
R227,23 ST,16:00:00,39415361.0,20802296.866666667,1231.9333333333334,429.46666666666664,1661.4
N077,23 ST,16:00:00,14093206.328358209,26721024.28358209,1258.6567164179105,1504.6119402985075,2763.268656716418
